match_id,event_id,year,map_index,map,team1,team1_score,team2,team2_score,winner
247095,1657,2023,1,Haven,FNATIC,13,Bilibili Gaming,2,FNATIC
247095,1657,2023,2,Lotus,FNATIC,13,Bilibili Gaming,8,FNATIC
312777,1921,2024,1,Split,Gen.G,13,Paper Rex,8,Gen.G
312777,1921,2024,2,Lotus,Gen.G,13,Paper Rex,9,Gen.G
312776,1921,2024,1,Split,Sentinels,13,LOUD,4,Sentinels
312776,1921,2024,2,Icebox,Sentinels,12,LOUD,14,LOUD
312776,1921,2024,3,Sunset,Sentinels,14,LOUD,12,Sentinels
312799,1921,2024,1,Sunset,Team Heretics,10,Paper Rex,13,Paper Rex
312799,1921,2024,2,Lotus,Team Heretics,13,Paper Rex,10,Team Heretics
312799,1921,2024,3,Split,Team Heretics,7,Paper Rex,13,Paper Rex
312768,1921,2024,1,Lotus,Sentinels,13,Team Heretics,9,Sentinels
312768,1921,2024,2,Sunset,Sentinels,5,Team Heretics,13,Team Heretics
312768,1921,2024,3,Bind,Sentinels,13,Team Heretics,11,Sentinels
312798,1921,2024,1,Split,Sentinels,13,Karmine Corp,8,Sentinels
312798,1921,2024,2,Lotus,Sentinels,13,Karmine Corp,11,Sentinels
312800,1921,2024,1,Sunset,FunPlus Phoenix,5,LOUD,13,LOUD
312800,1921,2024,2,Breeze,FunPlus Phoenix,11,LOUD,13,LOUD
312767,1921,2024,1,Sunset,EDward Gaming,8,Paper Rex,13,Paper Rex
312767,1921,2024,2,Bind,EDward Gaming,13,Paper Rex,9,EDward Gaming
312767,1921,2024,3,Split,EDward Gaming,13,Paper Rex,9,EDward Gaming
312765,1921,2024,1,Icebox,Karmine Corp,13,FunPlus Phoenix,8,Karmine Corp
312765,1921,2024,2,Lotus,Karmine Corp,13,FunPlus Phoenix,10,Karmine Corp
312781,1921,2024,1,Lotus,Sentinels,14,Paper Rex,12,Sentinels
312781,1921,2024,2,Ascent,Sentinels,13,Paper Rex,6,Sentinels
312781,1921,2024,3,Split,Sentinels,5,Paper Rex,13,Paper Rex
312781,1921,2024,4,Sunset,Sentinels,13,Paper Rex,3,Sentinels
312778,1921,2024,1,Split,Gen.G,13,Sentinels,5,Gen.G
312778,1921,2024,2,Lotus,Gen.G,7,Sentinels,13,Sentinels
312778,1921,2024,3,Breeze,Gen.G,13,Sentinels,3,Gen.G
312779,1921,2024,1,Breeze,Gen.G,13,Sentinels,8,Gen.G
312779,1921,2024,2,Bind,Gen.G,12,Sentinels,14,Sentinels
312779,1921,2024,3,Ascent,Gen.G,13,Sentinels,8,Gen.G
312779,1921,2024,4,Split,Gen.G,10,Sentinels,13,Sentinels
312779,1921,2024,5,Icebox,Gen.G,6,Sentinels,13,Sentinels
321373,1921,2024,1,Ascent,Team International,8,Team Spain,13,Team Spain
312797,1921,2024,1,Icebox,EDward Gaming,13,Gen.G,8,EDward Gaming
312797,1921,2024,2,Split,EDward Gaming,5,Gen.G,13,Gen.G
312797,1921,2024,3,Breeze,EDward Gaming,6,Gen.G,13,Gen.G
312802,1921,2024,1,Bind,Karmine Corp,10,Paper Rex,13,Paper Rex
312802,1921,2024,2,Lotus,Karmine Corp,13,Paper Rex,6,Karmine Corp
312802,1921,2024,3,Ascent,Karmine Corp,12,Paper Rex,14,Paper Rex
312803,1921,2024,1,Icebox,LOUD,13,EDward Gaming,2,LOUD
312803,1921,2024,2,Sunset,LOUD,13,EDward Gaming,3,LOUD
312766,1921,2024,1,Icebox,Gen.G,13,LOUD,11,Gen.G
312766,1921,2024,2,Breeze,Gen.G,8,LOUD,13,LOUD
312766,1921,2024,3,Ascent,Gen.G,13,LOUD,5,Gen.G
312780,1921,2024,1,Ascent,Paper Rex,13,LOUD,11,Paper Rex
312780,1921,2024,2,Sunset,Paper Rex,13,LOUD,8,Paper Rex
348476,1999,2024,1,Breeze,Gen.G,13,Team Heretics,6,Gen.G
348476,1999,2024,2,Icebox,Gen.G,9,Team Heretics,13,Team Heretics
348476,1999,2024,3,Ascent,Gen.G,9,Team Heretics,13,Team Heretics
348476,1999,2024,4,Lotus,Gen.G,13,Team Heretics,4,Gen.G
348476,1999,2024,5,Split,Gen.G,13,Team Heretics,3,Gen.G
348459,1999,2024,1,Breeze,LEVIATÁN,13,T1,9,LEVIATÁN
348459,1999,2024,2,Sunset,LEVIATÁN,13,T1,7,LEVIATÁN
348470,1999,2024,1,Icebox,100 Thieves,10,Gen.G,13,Gen.G
348470,1999,2024,2,Ascent,100 Thieves,10,Gen.G,13,Gen.G
348472,1999,2024,1,Bind,Team Heretics,13,FUT Esports,7,Team Heretics
348472,1999,2024,2,Sunset,Team Heretics,13,FUT Esports,4,Team Heretics
348461,1999,2024,1,Sunset,FUT Esports,13,LEVIATÁN,1,FUT Esports
348461,1999,2024,2,Lotus,FUT Esports,11,LEVIATÁN,13,LEVIATÁN
348461,1999,2024,3,Bind,FUT Esports,13,LEVIATÁN,11,FUT Esports
348064,1999,2024,1,Icebox,Gen.G,7,LEVIATÁN,13,LEVIATÁN
348064,1999,2024,2,Lotus,Gen.G,13,LEVIATÁN,5,Gen.G
348064,1999,2024,3,Breeze,Gen.G,13,LEVIATÁN,7,Gen.G
348473,1999,2024,1,Lotus,G2 Esports,8,Gen.G,13,Gen.G
348473,1999,2024,2,Ascent,G2 Esports,10,Gen.G,13,Gen.G
348471,1999,2024,1,Breeze,100 Thieves,13,Paper Rex,5,100 Thieves
348471,1999,2024,2,Sunset,100 Thieves,10,Paper Rex,13,Paper Rex
348471,1999,2024,3,Icebox,100 Thieves,14,Paper Rex,12,100 Thieves
348475,1999,2024,1,Bind,G2 Esports,2,Team Heretics,13,Team Heretics
348475,1999,2024,2,Icebox,G2 Esports,6,Team Heretics,13,Team Heretics
348475,1999,2024,3,Lotus,G2 Esports,8,Team Heretics,13,Team Heretics
348063,1999,2024,1,Breeze,G2 Esports,13,T1,8,G2 Esports
348063,1999,2024,2,Icebox,G2 Esports,1,T1,13,T1
348063,1999,2024,3,Lotus,G2 Esports,14,T1,12,G2 Esports
348467,1999,2024,1,Bind,Paper Rex,13,EDward Gaming,11,Paper Rex
348467,1999,2024,2,Sunset,Paper Rex,13,EDward Gaming,6,Paper Rex
348463,1999,2024,1,Split,Paper Rex,13,G2 Esports,7,Paper Rex
348463,1999,2024,2,Lotus,Paper Rex,10,G2 Esports,13,G2 Esports
348463,1999,2024,3,Bind,Paper Rex,5,G2 Esports,13,G2 Esports
348464,1999,2024,1,Sunset,EDward Gaming,6,Team Heretics,13,Team Heretics
348464,1999,2024,2,Split,EDward Gaming,3,Team Heretics,13,Team Heretics
348465,1999,2024,1,Icebox,100 Thieves,13,FUT Esports,2,100 Thieves
348465,1999,2024,2,Bind,100 Thieves,13,FUT Esports,5,100 Thieves
348474,1999,2024,1,Bind,100 Thieves,13,Team Heretics,15,Team Heretics
348474,1999,2024,2,Sunset,100 Thieves,1,Team Heretics,13,Team Heretics
348462,1999,2024,1,Sunset,FunPlus Phoenix,4,Team Heretics,13,Team Heretics
348462,1999,2024,2,Lotus,FunPlus Phoenix,13,Team Heretics,6,FunPlus Phoenix
348462,1999,2024,3,Icebox,FunPlus Phoenix,15,Team Heretics,17,Team Heretics
348469,1999,2024,1,Icebox,G2 Esports,7,Team Heretics,13,Team Heretics
348469,1999,2024,2,Ascent,G2 Esports,13,Team Heretics,11,G2 Esports
348469,1999,2024,3,Lotus,G2 Esports,13,Team Heretics,4,G2 Esports
348468,1999,2024,1,Split,FUT Esports,5,FNATIC,13,FNATIC
348468,1999,2024,2,Lotus,FUT Esports,13,FNATIC,8,FUT Esports
348468,1999,2024,3,Ascent,FUT Esports,13,FNATIC,3,FUT Esports
348460,1999,2024,1,Bind,Dragon Ranger Gaming,10,FUT Esports,13,FUT Esports
348460,1999,2024,2,Ascent,Dragon Ranger Gaming,12,FUT Esports,14,FUT Esports
348458,1999,2024,1,Lotus,FunPlus Phoenix,16,Gen.G,14,FunPlus Phoenix
348458,1999,2024,2,Sunset,FunPlus Phoenix,7,Gen.G,13,Gen.G
348458,1999,2024,3,Ascent,FunPlus Phoenix,11,Gen.G,13,Gen.G
348061,1999,2024,1,Sunset,FunPlus Phoenix,13,FUT Esports,7,FunPlus Phoenix
348061,1999,2024,2,Lotus,FunPlus Phoenix,12,FUT Esports,14,FUT Esports
348061,1999,2024,3,Icebox,FunPlus Phoenix,13,FUT Esports,10,FunPlus Phoenix
348466,1999,2024,1,Lotus,FNATIC,13,Gen.G,10,FNATIC
348466,1999,2024,2,Bind,FNATIC,10,Gen.G,13,Gen.G
348466,1999,2024,3,Breeze,FNATIC,11,Gen.G,13,Gen.G
348059,1999,2024,1,Icebox,Team Heretics,13,Dragon Ranger Gaming,5,Team Heretics
348059,1999,2024,2,Sunset,Team Heretics,13,Dragon Ranger Gaming,5,Team Heretics
348457,1999,2024,1,Lotus,G2 Esports,9,Team Heretics,13,Team Heretics
348457,1999,2024,2,Bind,G2 Esports,13,Team Heretics,6,G2 Esports
348457,1999,2024,3,Split,G2 Esports,13,Team Heretics,8,G2 Esports
359463,1999,2024,1,Abyss,Team International,11,Team China,13,Team China
378825,2097,2024,1,Lotus,Team Heretics,13,FNATIC,3,Team Heretics
378825,2097,2024,2,Abyss,Team Heretics,14,FNATIC,12,Team Heretics
378667,2097,2024,1,Bind,LEVIATÁN,13,TALON,11,LEVIATÁN
378667,2097,2024,2,Ascent,LEVIATÁN,13,TALON,8,LEVIATÁN
378660,2097,2024,1,Sunset,FNATIC,11,KRÜ Esports,13,KRÜ Esports
378660,2097,2024,2,Haven,FNATIC,13,KRÜ Esports,9,FNATIC
378660,2097,2024,3,Lotus,FNATIC,13,KRÜ Esports,5,FNATIC
378677,2097,2024,1,Icebox,EDward Gaming,3,Paper Rex,13,Paper Rex
378677,2097,2024,2,Sunset,EDward Gaming,13,Paper Rex,8,EDward Gaming
378677,2097,2024,3,Lotus,EDward Gaming,13,Paper Rex,4,EDward Gaming
378674,2097,2024,1,Icebox,G2 Esports,13,Paper Rex,8,G2 Esports
378674,2097,2024,2,Lotus,G2 Esports,13,Paper Rex,9,G2 Esports
378665,2097,2024,1,Bind,Sentinels,13,FunPlus Phoenix,8,Sentinels
378665,2097,2024,2,Lotus,Sentinels,13,FunPlus Phoenix,5,Sentinels
378836,2097,2024,1,Icebox,LEVIATÁN,7,Team Heretics,13,Team Heretics
378836,2097,2024,2,Sunset,LEVIATÁN,13,Team Heretics,15,Team Heretics
378836,2097,2024,3,Abyss,LEVIATÁN,13,Team Heretics,9,LEVIATÁN
378836,2097,2024,4,Lotus,LEVIATÁN,3,Team Heretics,13,Team Heretics
