match_id,event_id,map,round_number,round_score,winner,side,win_type
348061,1999,Sunset,5,2-3,team1,attack,Elimination
348061,1999,Sunset,6,3-3,team1,attack,Elimination
348061,1999,Sunset,7,4-3,team1,attack,Elimination
348061,1999,Sunset,8,5-3,team1,attack,Elimination
348061,1999,Sunset,9,6-3,team1,attack,Spike exploded
348061,1999,Sunset,10,7-3,team1,attack,Elimination
348061,1999,Sunset,11,8-3,team1,attack,Elimination
348061,1999,Sunset,12,9-3,team1,attack,Elimination
348061,1999,Sunset,13,9-4,team2,attack,Elimination
348061,1999,Sunset,14,9-5,team2,attack,Elimination
348061,1999,Sunset,15,10-5,team1,defense,Elimination
348061,1999,Sunset,16,10-6,team2,attack,Elimination
348061,1999,Sunset,17,10-7,team2,attack,Elimination
348061,1999,Sunset,18,11-7,team1,defense,Elimination
348061,1999,Sunset,19,12-7,team1,defense,Elimination
348061,1999,Sunset,20,13-7,team1,defense,Elimination
348061,1999,Lotus,1,0-1,team2,attack,Elimination
348061,1999,Lotus,2,0-2,team2,attack,Elimination
348061,1999,Lotus,3,0-3,team2,attack,Spike exploded
348061,1999,Lotus,4,1-3,team1,defense,Defused
348061,1999,Lotus,5,1-4,team2,attack,Elimination
348061,1999,Lotus,6,1-5,team2,attack,Elimination
348061,1999,Lotus,7,1-6,team2,attack,Elimination
348061,1999,Lotus,8,2-6,team1,defense,Elimination
348061,1999,Lotus,9,3-6,team1,defense,Defused
348061,1999,Lotus,10,4-6,team1,defense,Elimination
348061,1999,Lotus,11,4-7,team2,attack,Elimination
348061,1999,Lotus,12,4-8,team2,attack,Elimination
348061,1999,Lotus,13,5-8,team1,attack,Elimination
348061,1999,Lotus,14,6-8,team1,attack,Elimination
348061,1999,Lotus,15,7-8,team1,attack,Elimination
348061,1999,Lotus,16,8-8,team1,attack,Elimination
348061,1999,Lotus,17,9-8,team1,attack,Elimination
348061,1999,Lotus,18,10-8,team1,attack,Spike exploded
348061,1999,Lotus,19,10-9,team2,defense,Defused
348061,1999,Lotus,20,10-10,team2,defense,Defused
348061,1999,Lotus,21,10-11,team2,defense,Defused
348061,1999,Lotus,22,11-11,team1,attack,Elimination
348061,1999,Lotus,23,11-12,team2,defense,Elimination
348061,1999,Lotus,24,12-12,team1,attack,Elimination
348061,1999,Lotus,25,12-13,team2,attack,Elimination
348061,1999,Lotus,26,12-14,team2,defense,Elimination
348061,1999,Icebox,1,0-1,team2,attack,Elimination
348061,1999,Icebox,2,1-1,team1,defense,Defused
348061,1999,Icebox,3,2-1,team1,defense,Elimination
348061,1999,Icebox,4,3-1,team1,defense,Defused
348061,1999,Icebox,5,3-2,team2,attack,Elimination
348061,1999,Icebox,6,3-3,team2,attack,Elimination
348061,1999,Icebox,7,3-4,team2,attack,Elimination
348061,1999,Icebox,8,3-5,team2,attack,Elimination
348061,1999,Icebox,9,3-6,team2,attack,Elimination
348061,1999,Icebox,10,4-6,team1,defense,Elimination
348061,1999,Icebox,11,4-7,team2,attack,Elimination
348061,1999,Icebox,12,4-8,team2,attack,Elimination
348061,1999,Icebox,13,4-9,team2,defense,Elimination
348061,1999,Icebox,14,4-10,team2,defense,Elimination
348061,1999,Icebox,15,5-10,team1,attack,Elimination
348061,1999,Icebox,16,6-10,team1,attack,Elimination
348061,1999,Icebox,17,7-10,team1,attack,Elimination
348061,1999,Icebox,18,8-10,team1,attack,Spike exploded
348061,1999,Icebox,19,9-10,team1,attack,Elimination
348061,1999,Icebox,20,10-10,team1,attack,Spike exploded
348061,1999,Icebox,21,11-10,team1,attack,Elimination
348061,1999,Icebox,22,12-10,team1,attack,Elimination
348061,1999,Icebox,23,13-10,team1,attack,Elimination
348466,1999,Lotus,1,0-1,team2,attack,Elimination
348466,1999,Lotus,2,1-1,team1,defense,Defused
348466,1999,Lotus,3,1-2,team2,attack,Elimination
348466,1999,Lotus,4,2-2,team1,defense,Elimination
348466,1999,Lotus,5,3-2,team1,defense,Elimination
348466,1999,Lotus,6,4-2,team1,defense,Time out
348466,1999,Lotus,7,4-3,team2,attack,Elimination
348466,1999,Lotus,8,5-3,team1,defense,Defused
348466,1999,Lotus,9,6-3,team1,defense,Defused
348466,1999,Lotus,10,7-3,team1,defense,Defused
348466,1999,Lotus,11,8-3,team1,defense,Defused
348466,1999,Lotus,12,9-3,team1,defense,Elimination
348466,1999,Lotus,13,9-4,team2,defense,Defused
348466,1999,Lotus,14,9-5,team2,defense,Defused
348466,1999,Lotus,15,9-6,team2,defense,Time out
348466,1999,Lotus,16,9-7,team2,defense,Defused
348466,1999,Lotus,17,9-8,team2,defense,Elimination
348466,1999,Lotus,18,10-8,team1,attack,Elimination
348466,1999,Lotus,19,10-9,team2,defense,Defused
348466,1999,Lotus,20,10-10,team2,defense,Defused
348466,1999,Lotus,21,11-10,team1,attack,Elimination
348466,1999,Lotus,22,12-10,team1,attack,Spike exploded
348466,1999,Lotus,23,13-10,team1,attack,Elimination
348466,1999,Bind,1,0-1,team2,defense,Defused
348466,1999,Bind,2,0-2,team2,defense,Defused
348466,1999,Bind,3,1-2,team1,attack,Elimination
348466,1999,Bind,4,1-3,team2,defense,Time out
348466,1999,Bind,5,1-4,team2,defense,Elimination
348466,1999,Bind,6,1-5,team2,defense,Defused
348466,1999,Bind,7,2-5,team1,attack,Elimination
348466,1999,Bind,8,3-5,team1,attack,Elimination
348466,1999,Bind,9,3-6,team2,defense,Defused
348466,1999,Bind,10,4-6,team1,attack,Elimination
348466,1999,Bind,11,5-6,team1,attack,Elimination
348466,1999,Bind,12,6-6,team1,attack,Elimination
348466,1999,Bind,13,7-6,team1,defense,Defused
348466,1999,Bind,14,8-6,team1,defense,Elimination
348466,1999,Bind,15,8-7,team2,attack,Elimination
348466,1999,Bind,16,8-8,team2,attack,Elimination
348466,1999,Bind,17,8-9,team2,attack,Spike exploded
348466,1999,Bind,18,9-9,team1,defense,Defused
348466,1999,Bind,19,9-10,team2,attack,Elimination
348466,1999,Bind,20,9-11,team2,attack,Spike exploded
348466,1999,Bind,21,9-12,team2,attack,Elimination
348466,1999,Bind,22,10-12,team1,defense,Elimination
348466,1999,Bind,23,10-13,team2,attack,Elimination
348466,1999,Breeze,1,0-1,team2,defense,Defused
348466,1999,Breeze,2,0-2,team2,defense,Elimination
348466,1999,Breeze,3,0-3,team2,defense,Time out
348466,1999,Breeze,4,1-3,team1,attack,Spike exploded
348466,1999,Breeze,5,2-3,team1,attack,Elimination
