match_id,event_id,event_title,year,date,time,stage,round,team1,team1_id,team1_score,team2,team2_id,team2_score,winner,map_count
220448,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-25,06:30:00,Playoffs,Grand Final,FNATIC,2593,3,Evil Geniuses,5248,0,FNATIC,3
220450,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-18,05:00:00,Playoffs,Lower Round 1,EDward Gaming,1120,2,LOUD,6961,0,EDward Gaming,2
220441,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-17,07:30:00,Playoffs,Upper Quarterfinals,Paper Rex,624,2,KIWOOM DRX,8185,0,Paper Rex,2
220297,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-11,05:00:00,Group Stage,Opening (B),FUT Esports,1184,0,Evil Geniuses,5248,2,Evil Geniuses,2
220295,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-14,08:15:00,Group Stage,Decider (A),T1,14,0,EDward Gaming,1120,2,EDward Gaming,2
220442,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-17,05:00:00,Playoffs,Upper Quarterfinals,FNATIC,2593,2,NRG,1034,0,FNATIC,2
220446,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-19,05:00:00,Playoffs,Upper Semifinals,Team Liquid,474,0,Evil Geniuses,5248,2,Evil Geniuses,2
220449,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-18,07:35:00,Playoffs,Lower Round 1,KIWOOM DRX,8185,0,NRG,1034,2,NRG,2
220298,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-12,08:30:00,Group Stage,Winner's (B),KIWOOM DRX,8185,0,Evil Geniuses,5248,2,Evil Geniuses,2
220300,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-14,05:00:00,Group Stage,Decider (B),KIWOOM DRX,8185,2,FUT Esports,1184,1,KIWOOM DRX,3
220453,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-21,08:25:00,Playoffs,Lower Round 3,NRG,1034,1,Paper Rex,624,2,Paper Rex,3
220299,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-13,08:45:00,Group Stage,Elimination (B),Attacking Soul Esports,1837,1,FUT Esports,1184,2,FUT Esports,3
220294,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-13,11:45:00,Group Stage,Elimination (A),Natus Vincere,4915,0,EDward Gaming,1120,2,EDward Gaming,2
220451,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-20,05:00:00,Playoffs,Lower Round 2,Team Liquid,474,1,NRG,1034,2,NRG,3
220292,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-11,10:15:00,Group Stage,Opening (A),EDward Gaming,1120,1,T1,14,2,T1,3
220293,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-13,05:00:00,Group Stage,Winner's (A),NRG,1034,2,T1,14,1,NRG,3
220445,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-19,07:15:00,Playoffs,Upper Semifinals,Paper Rex,624,0,FNATIC,2593,2,FNATIC,2
220443,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-16,07:30:00,Playoffs,Upper Quarterfinals,Team Liquid,474,2,EDward Gaming,1120,1,Team Liquid,3
220290,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-12,05:00:00,Group Stage,Opening (A),NRG,1034,2,Natus Vincere,4915,1,NRG,3
220454,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-24,05:00:00,Playoffs,Lower Final,Evil Geniuses,5248,3,Paper Rex,624,2,Evil Geniuses,5
220296,1494,Champions Tour 2023: Masters Tokyo,2023,2023-06-11,07:45:00,Group Stage,Opening (B),KIWOOM DRX,8185,2,Attacking Soul Esports,1837,0,KIWOOM DRX,2
247103,1657,Valorant Champions 2023,2023,2023-08-10,21:00:00,Group Stage,Elimination (D),Team Liquid,474,0,LOUD,6961,2,LOUD,2
247086,1657,Valorant Champions 2023,2023,2023-08-07,23:10:00,Group Stage,Opening (B),Evil Geniuses,5248,2,FunPlus Phoenix,11328,0,Evil Geniuses,2
248275,1657,Valorant Champions 2023,2023,2023-08-20,00:25:00,Playoffs,Upper Semifinals,KIWOOM DRX,8185,0,Evil Geniuses,5248,2,Evil Geniuses,2
247096,1657,Valorant Champions 2023,2023,2023-08-11,23:45:00,Group Stage,Elimination (C),ZETA DIVISION,5448,0,NRG,1034,2,NRG,2
247087,1657,Valorant Champions 2023,2023,2023-08-07,21:00:00,Group Stage,Opening (B),FUT Esports,1184,2,T1,14,0,FUT Esports,2
248279,1657,Valorant Champions 2023,2023,2023-08-18,23:10:00,Playoffs,Lower Round 1,Bilibili Gaming,12010,1,EDward Gaming,1120,2,EDward Gaming,3
247090,1657,Valorant Champions 2023,2023,2023-08-13,00:55:00,Group Stage,Decider (B),FUT Esports,1184,2,T1,14,0,FUT Esports,2
248274,1657,Valorant Champions 2023,2023,2023-08-19,21:00:00,Playoffs,Upper Semifinals,LOUD,6961,1,Paper Rex,624,2,Paper Rex,3
247075,1657,Valorant Champions 2023,2023,2023-08-09,21:00:00,Group Stage,Opening (A),Paper Rex,624,2,KRÜ Esports,2355,0,Paper Rex,2
247098,1657,Valorant Champions 2023,2023,2023-08-13,23:15:00,Group Stage,Decider (C),Bilibili Gaming,12010,2,NRG,1034,0,Bilibili Gaming,2
247102,1657,Valorant Champions 2023,2023,2023-08-08,01:15:00,Group Stage,Winner's (D),Natus Vincere,4915,1,KIWOOM DRX,8185,2,KIWOOM DRX,3
247079,1657,Valorant Champions 2023,2023,2023-08-13,21:00:00,Group Stage,Decider (A),EDward Gaming,1120,2,Giants Gaming,2304,0,EDward Gaming,2
248270,1657,Valorant Champions 2023,2023,2023-08-16,21:00:00,Playoffs,Upper Quarterfinals,FNATIC,2593,0,LOUD,6961,2,LOUD,2
247101,1657,Valorant Champions 2023,2023,2023-08-07,00:20:00,Group Stage,Opening (D),KIWOOM DRX,8185,2,LOUD,6961,1,KIWOOM DRX,3
248273,1657,Valorant Champions 2023,2023,2023-08-17,23:25:00,Playoffs,Upper Quarterfinals,Evil Geniuses,5248,2,EDward Gaming,1120,1,Evil Geniuses,3
247078,1657,Valorant Champions 2023,2023,2023-08-11,21:00:00,Group Stage,Elimination (A),KRÜ Esports,2355,0,Giants Gaming,2304,2,Giants Gaming,2
247088,1657,Valorant Champions 2023,2023,2023-08-09,01:40:00,Group Stage,Winner's (B),Evil Geniuses,5248,2,FUT Esports,1184,0,Evil Geniuses,2
248282,1657,Valorant Champions 2023,2023,2023-08-25,00:45:00,Playoffs,Lower Round 3,FNATIC,2593,1,LOUD,6961,2,LOUD,3
248281,1657,Valorant Champions 2023,2023,2023-08-20,21:00:00,Playoffs,Lower Round 2,LOUD,6961,2,EDward Gaming,1120,1,LOUD,3
248278,1657,Valorant Champions 2023,2023,2023-08-18,21:00:00,Playoffs,Lower Round 1,FNATIC,2593,2,FUT Esports,1184,0,FNATIC,2
248271,1657,Valorant Champions 2023,2023,2023-08-16,23:25:00,Playoffs,Upper Quarterfinals,Paper Rex,624,2,FUT Esports,1184,0,Paper Rex,2
248280,1657,Valorant Champions 2023,2023,2023-08-21,00:20:00,Playoffs,Lower Round 2,KIWOOM DRX,8185,1,FNATIC,2593,2,FNATIC,3
